League Name,,defense,possession,creativity,progression,crossing,explosive,attacking,setpiece,gkbuildup,excitement,Cluster,x,y,Distance to 1.Div
Ekstraklasa,Ekstraklasa,-0.023897989,0.79762433,0.218490583,-0.386364605,1.213727588,-0.311507218,0.574894946,-0.172948494,0.037498888,0.155137708,1,-3.2391503,1.9640524,9.053100418
El Salvador Primera Division,,0.523538238,-1.038199107,-0.879520728,-1.130856576,-0.96411498,-0.726551818,-1.009807221,0.746039873,-0.743904778,-0.904785797,16,-0.837752,-15.804339,26.95391393
El Salvador Primera División,,0.592118675,-1.186445585,-1.008766067,-1.277710951,-1.269559955,-0.544210227,-1.291285926,0.763494155,-0.795968037,-1.025001332,16,-0.38876104,-16.168612,27.39054622
Eliteserien,Eliteserien,-0.691818094,1.575161776,1.023427732,1.139556173,1.534372285,0.160752519,1.438269435,-0.216274715,-0.203606133,0.957033587,19,-6.260695,12.302911,1.792161257
English National League,English National League,-0.07743869,-0.78203953,-0.389628054,0.386794214,0.149811366,-0.33750898,-0.083140591,-0.019717796,-1.199350388,-0.097673957,11,-8.848337,-6.626498,17.7522704
English National League North South,English National League NS,0.214568949,-2.154340727,-0.61414282,0.366925118,-0.147543038,-0.351027821,-0.247062781,0.054140949,-2.242472803,-0.261908506,21,-11.634235,-8.147738,19.94430672
English Non-League Premier Division - Step 7,,-0.269725828,-2.405148154,-0.852084805,0.327012997,-0.239570647,-1.053754819,-0.147029204,-0.100842415,-1.705624099,-0.482419481,21,-11.831942,-8.702797,20.53340521
Eredivisie,Eredivisie,-0.635071475,1.140587753,1.03072709,0.922638258,0.842928411,0.126450882,1.16634846,-0.257979255,-0.094192029,0.936298248,19,-5.5581403,11.79565,1.048339501
Erovnuli Liga,Erovnuli Liga,-0.458154241,1.184682091,-0.342470778,-0.45735659,-0.968818737,0.081364188,-0.597467412,-0.738465645,0.860412603,-0.386082922,8,7.7713966,-4.960937,20.47271519
Erovnuli Liga 2,Erovnuli Liga 2,-0.5348602,0.725274999,-0.132464438,0.476458688,0.830487107,-0.116137479,0.291201729,0.166328565,0.372960681,-0.064280666,7,-1.4563813,5.965442,6.172234418
Estonia Meistriliiga,Estonian Meistriliiga,0.210552244,-0.035704924,0.552361922,0.591629899,0.7497649,0.31282616,1.403913166,0.709601066,0.406814566,0.78632253,9,-3.829831,8.300634,2.890506163
